,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
1111,20020917X03646,Accident,LAX82FA164,1982-05-08,"UPPER LAKE, CA",United States,,,1Q5,GRAVELLY VALLEY,Fatal(4),Destroyed,Airplane,N8313E,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,4.0,0.0,0.0,0.0,VMC,Go-around,Probable Cause,08-05-1983
1118,20020917X03552,Accident,LAX82DA206,1982-05-08,"MOJAVE, CA",United States,,,EDW,EDWARDS AIR FORCE BASE,Non-Fatal,Substantial,Airplane,N5111E,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,08-05-1983
1120,20020917X02910,Accident,CHI82DA158,1982-05-08,"BLOOMINGTON, IL",United States,,,IL41,BLOOMINGTON-NORMAL,Non-Fatal,Substantial,Airplane,N8197F,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-05-1983
1121,20020917X02909,Accident,CHI82DA156,1982-05-08,"YALE, MI",United States,,,MI64,PARA,Non-Fatal,Substantial,Airplane,N15585,Piper,PA-28-180,No,4.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,08-05-1983
1122,20020917X02908,Accident,CHI82DA155,1982-05-08,"AURORA, IL",United States,,,ARR,AURORA MUNICIPAL,Non-Fatal,Substantial,Airplane,N9388C,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,08-05-1983
1123,20020917X02907,Accident,CHI82DA154,1982-05-08,"OTTAWA, IL",United States,,,C13,OTTAWA,Non-Fatal,Substantial,Airplane,N8454S,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Landing,Probable Cause,08-05-1983
1130,20020917X03650,Accident,LAX82FA171,1982-05-09,"EL PORTAL, CA",United States,,,,,Fatal(3),Destroyed,Airplane,N2996E,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,3.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,09-05-1983
1133,20020917X04077,Accident,SEA82DA067,1982-05-09,"N.W. OF COPALIS, WA",United States,,,S16,COPALIS STATE,Non-Fatal,Substantial,Airplane,N5045R,Cessna,A185F,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,09-05-1983
1134,20020917X03872,Accident,MKC82FA075,1982-05-09,"SMITHVILLE, MO",United States,,,MCI,KANSAS CITY INTERNATIONAL,Non-Fatal,Substantial,Airplane,N1877L,Beech,A36,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,3.0,2.0,0.0,VMC,Descent,Probable Cause,09-05-1983
1136,20020917X03522,Accident,LAX82DA165,1982-05-09,"SAN CARLOS, CA",United States,,,SQL,SAN CARLOS,Non-Fatal,Substantial,Airplane,N9180T,Piper,PA-18-150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,09-05-1983
1137,20020917X03253,Accident,FTW82DA170,1982-05-09,"COAHAMA, TX",United States,,,BGS,BIG SPRING,Non-Fatal,Substantial,Airplane,N757RS,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,09-05-1983
1146,20020917X03647,Accident,LAX82FA167,1982-05-10,"MORMAN LAKE, AZ",United States,,,,,Fatal(2),Destroyed,Airplane,N78810,Cessna,172,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,2.0,0.0,0.0,UNK,Cruise,Probable Cause,10-05-1983
1152,20020917X03116,Accident,DEN82DA083,1982-05-10,"STURGIS, SD",United States,,,,,Non-Fatal,Substantial,Airplane,N5266J,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,10-05-1983
1160,20020917X04016,Accident,NYC82FA091B,1982-05-12,"SANFORD, ME",United States,,,SFM,SANFORD MUNICIPAL,Non-Fatal,Destroyed,Airplane,N81029,Piper,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,2.0,1.0,1.0,VMC,Approach,Probable Cause,12-05-1983
1161,20020917X03523,Accident,LAX82DA169,1982-05-12,"SAN FERNANDO, CA",United States,,,SFR,SAN FERNANDO,Non-Fatal,Destroyed,Airplane,N6598M,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,12-05-1983
1163,20020917X03443,Accident,FTW82FA171,1982-05-12,"LORENZO, TX",United States,,,LBB,LUBBOCK INTL.,Fatal(4),Destroyed,Airplane,N9697C,Piper,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,4.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,12-05-1983
1168,20020917X03311,Accident,FTW82DA233,1982-05-12,"CHANDELEUR ISLA, LA",United States,,,,,Non-Fatal,Substantial,Airplane,N52049,Cessna,172P,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,12-05-1983
1171,20020917X04016,Accident,NYC82FA091A,1982-05-12,"SANFORD, ME",United States,,,SFM,SANFORD MUNICIPAL,Non-Fatal,Substantial,Airplane,N53442,Cessna,172P,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,New England Aviation,0.0,2.0,1.0,1.0,VMC,Approach,Probable Cause,12-05-1983
1175,20020917X03908,Accident,NYC82DA092,1982-05-13,"NORTH ANDOVER, MA",United States,,,LWM,LAWRENCE,Non-Fatal,Substantial,Airplane,N15878,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,UNK,Landing,Probable Cause,13-05-1983
1176,20020917X03257,Accident,FTW82DA176,1982-05-13,"HOUMA, LA",United States,,,,,Non-Fatal,Substantial,Airplane,N71DS,Cessna,A185F,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,13-05-1983
1177,20020917X03118,Accident,DEN82DA085,1982-05-13,"CUT BANK, MT",United States,,,,PRIVATE AIRSTRIP,Non-Fatal,Substantial,Airplane,N9957N,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,13-05-1983
1182,20020917X02912,Accident,CHI82DA161,1982-05-13,"ROMEO, MI",United States,,,D98,ROMEO,Non-Fatal,Substantial,Airplane,N46341,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,13-05-1983
1183,20020917X02727,Accident,ATL82DA130,1982-05-13,"MITCHELLVILLE, MD",United States,,,W00,FREEWAY,Non-Fatal,Substantial,Airplane,N3563W,Piper,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,13-05-1983
1186,20020917X02828,Accident,ATL82DKJ13,1982-05-14,"WHEELER, AL",United States,,,,PRIVATE,Non-Fatal,Destroyed,Airplane,N6301K,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,14-05-1983
1190,20020917X02917,Accident,CHI82DA166,1982-05-14,"GALESBURG, IL",United States,,,GB6,GALESBURG MUNICIPAL,Non-Fatal,Substantial,Airplane,N210DK,Cessna,210,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,14-05-1983
1191,20020917X02730,Accident,ATL82DA133,1982-05-14,"SUMMERSVILLE, WV",United States,,,107,SUMMERSVILLE,Non-Fatal,Substantial,Airplane,N3440F,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,14-05-1983
1207,20020917X03267,Accident,FTW82DA186,1982-05-15,"KNOWLES, OK",United States,,,,C.E. BOND FARM,Non-Fatal,Substantial,Airplane,N50994,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,15-05-1983
1229,20020917X03262,Accident,FTW82DA181,1982-05-16,"HOUSTON, TX",United States,,,T86,LAKESIDE,Non-Fatal,Substantial,Airplane,N734NR,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,2.0,VMC,Landing,Probable Cause,16-05-1983
1234,20020917X02733,Accident,ATL82DA136,1982-05-16,"BUFORD, GA",United States,,,,MATHIS,Non-Fatal,Substantial,Airplane,N7588G,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,16-05-1983
1241,20020917X03912,Accident,NYC82DA096,1982-05-17,"TABERG, NY",United States,,,,BUDDY PAINE (PRIVATE),Non-Fatal,Substantial,Airplane,N739EP,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,17-05-1983
1243,20020917X03531,Accident,LAX82DA180,1982-05-17,"BAKERSFIELD, CA",United States,,,L45,BAKERSFIELD AIRPARK,Non-Fatal,Substantial,Airplane,N6459D,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,17-05-1983
1252,20020917X03801,Accident,MKC82DA083,1982-05-18,"CHADRON, NE",United States,,,,,Non-Fatal,Substantial,Airplane,N2259J,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,18-05-1983
1253,20020917X03697,Accident,LAX82FUA15,1982-05-18,"TORRANCE, CA",United States,,,TOA,TORRANCE MUNICIPAL,Non-Fatal,Substantial,Airplane,N5910J,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,2.0,0.0,VMC,Descent,Probable Cause,18-05-1983
1255,20020917X03121,Accident,DEN82DA091,1982-05-18,"BACKOO, ND",United States,,,,,Non-Fatal,Substantial,Airplane,N2195C,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,18-05-1983
1256,20020917X02923,Accident,CHI82DA173,1982-05-18,"LOGANVILLE, WI",United States,,,49WI,TRI-CENTER,Non-Fatal,Substantial,Airplane,N9698T,Cessna,210,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,18-05-1983
1259,20020917X03916,Accident,NYC82DA101,1982-05-19,"MONONGAHELA, PA",United States,,,G08,ROSTRAVER,Non-Fatal,Substantial,Airplane,N45946,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,19-05-1983
1261,20020917X03802,Accident,MKC82DA084,1982-05-19,"AINSWORTH, NE",United States,,,ANW,AINSWORTH MUNI,Non-Fatal,Substantial,Airplane,N5399B,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,19-05-1983
1262,20020917X03265,Accident,FTW82DA184,1982-05-19,"LAS CRUCES, NM",United States,,,LRU,LAS CRUCES,Non-Fatal,Substantial,Airplane,N54488,Cessna,172P,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,19-05-1983
1272,20020917X03804,Accident,MKC82DA086,1982-05-20,"COLUMBIA, MO",United States,,,K24,E.W.COTTON WOODS MEMORIAL,Non-Fatal,Substantial,Airplane,N6527W,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,20-05-1983
1276,20020917X03125,Accident,DEN82DA095,1982-05-20,"DILLON, MT",United States,,,DLN,DILLON,Non-Fatal,Substantial,Airplane,N18120,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,20-05-1983
1296,20020917X04086,Accident,SEA82DA078,1982-05-22,"BUENA VISTA, OR",United States,,,,,Non-Fatal,Substantial,Airplane,N73056,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,22-05-1983
1307,20020917X02682,Accident,ANC82DAG27,1982-05-23,"N. CORDOVA, AK",United States,,,,KATALLA BEACH,Fatal(4),Destroyed,Airplane,N9043M,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,4.0,0.0,0.0,0.0,VMC,Landing,Probable Cause,23-05-1983
1314,20020917X02637,Accident,ANC82DA041,1982-05-23,"PORTAGE CREEK, AK",United States,,,AK14,PORTAGE CREEK,Non-Fatal,Substantial,Airplane,N55038,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,2.0,VMC,Takeoff,Probable Cause,23-05-1983
1321,20020917X03541,Accident,LAX82DA191,1982-05-24,"HURON, CA",United States,,,3CA4,WILLETT FIELD,Non-Fatal,Substantial,Airplane,N735JJ,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,24-05-1983
1326,20020917X04125,Accident,SEA82DA123,1982-05-25,"CHELAN, WA",United States,,,S1O,CHELAN MUNICIPAL,Non-Fatal,Substantial,Airplane,N1921Z,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-05-1983
1332,20020917X02738,Accident,ATL82DA143,1982-05-25,"JONESBORO, GA",United States,,,9A7,SOUTH EXPRESSWAY,Non-Fatal,Substantial,Airplane,N54527,Cessna,172P,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Go-around,Probable Cause,25-05-1983
1340,20020917X03127,Accident,DEN82DA097,1982-05-26,"GRAND FORKS, ND",United States,,,GFK,GRAND FORKS,Non-Fatal,Substantial,Airplane,N5329B,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,26-05-1983
1341,20020917X02933,Accident,CHI82DA187,1982-05-26,"CEDARVILLE, OH",United States,,,,,Non-Fatal,Substantial,Airplane,N2414G,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,26-05-1983
1346,20020917X03545,Accident,LAX82DA197,1982-05-27,"FRESNO, CA",United States,,,Q60,SIERRA SKY PARK,Non-Fatal,Destroyed,Airplane,N5954A,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,27-05-1983
1348,20020917X03213,Accident,DEN82FTC04,1982-05-27,"OSAGE, WY",United States,,,,,Fatal(1),Destroyed,Airplane,N64093,Cessna,172P,No,1.0,Reciprocating,Part 91: General Aviation,,Aerial Observation,,1.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,27-05-1983
1349,20020917X03064,Accident,CHI82FA186,1982-05-27,"MILFORD, MI",United States,,,,,Fatal(2),Destroyed,Airplane,N4967G,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,27-05-1983
1352,20020917X03922,Accident,NYC82DA108,1982-05-27,"BURLINGTON, CT",United States,,,,JOHNNYCAKE,Non-Fatal,Substantial,Airplane,N757HG,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-05-1983
1365,20020917X03639,Accident,LAX82DVM14,1982-05-28,"SAN CARLOS, CA",United States,,,10,SAN CARLOS,Non-Fatal,Substantial,Airplane,N5138H,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,28-05-1983
1366,20020917X03551,Accident,LAX82DA205,1982-05-28,"PHOENIX, AZ",United States,,,PHX,PHOENIX SKY HARBOR,Non-Fatal,Substantial,Airplane,N2256N,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,28-05-1983
1368,20020917X03547,Accident,LAX82DA199,1982-05-28,"ROOSEVELT, AZ",United States,,,E75,GRAPEVINE,Non-Fatal,Substantial,Airplane,N9316D,Cessna,210,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,28-05-1983
1370,20020917X02935,Accident,CHI82DA189B,1982-05-28,"EVANSVILLE, IN",United States,,,,,Non-Fatal,Substantial,Airplane,N73616,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,28-05-1983
1371,20020917X02935,Accident,CHI82DA189A,1982-05-28,"EVANSVILLE, IN",United States,,,,,Non-Fatal,Substantial,Airplane,N2986U,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,28-05-1983
1376,20020917X02683,Accident,ANC82DAG28,1982-05-29,"KENAI, AK",United States,,,,,Fatal(1),Destroyed,Airplane,N9089D,Piper,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,29-05-1983
1380,20020917X02939,Accident,CHI82DA193,1982-05-29,"TRACY, MN",United States,,,Y68,TRACY MUNICIPAL,Non-Fatal,Substantial,Airplane,N9767H,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,29-05-1983
1386,20020917X02640,Accident,ANC82DA044,1982-05-29,"KODIAK, AK",United States,,,,,Non-Fatal,Substantial,Airplane,N1263Q,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-05-1983
1401,20020917X04171,Accident,SEA82FYM17,1982-05-31,"YAMHILL, OR",United States,,,,"FLYING ""M"" RANCH",Fatal(1),Destroyed,Airplane,N7525K,Piper,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,31-05-1983
1403,20020917X03725,Accident,LAX82FXQ09,1982-05-31,"TRUCKEE, CA",United States,,,TRR,TRUCKEE-TAHOE,Fatal(1),Destroyed,Airplane,N5056D,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,1.0,0.0,0.0,0.0,VMC,Go-around,Probable Cause,31-05-1983
1413,20020917X03206,Accident,DEN82FA099,1982-05-31,"OREM, UT",United States,,,,,Fatal(4),Substantial,Airplane,N5380D,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,4.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,31-05-1983
1420,20020917X03925,Accident,NYC82DA112,1982-06-01,"GREENVILLE, ME",United States,,,,,Non-Fatal,Substantial,Airplane,N52178,Cessna,172P,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,01-06-1983
1422,20020917X03287,Accident,FTW82DA207,1982-06-01,"CLARKSVILLE, AR",United States,,,,,Non-Fatal,Substantial,Airplane,N67650,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,01-06-1983
1434,20020917X02874,Accident,ATL82FKQ13,1982-06-02,"WINONA, MS",United States,,,5A6,WINONA MONT CTY AIRPORT,Non-Fatal,Substantial,Airplane,N52562,Cessna,182P,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,02-06-1983
1445,20020917X04020,Accident,NYC82FA116,1982-06-04,"ELMA, NY",United States,,,,,Fatal(1),Destroyed,Airplane,N757GY,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,1.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,04-06-1983
1447,20020917X02836,Accident,ATL82FA153,1982-06-04,"ALABASTER, AL",United States,,,,,Fatal(1),Destroyed,Airplane,N5443H,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,04-06-1983
1448,20020917X03555,Accident,LAX82DA210,1982-06-04,"LOVELOCK, NV",United States,,,LOL,DERBY FIELD,Non-Fatal,Substantial,Airplane,N7347E,Cessna,210,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,04-06-1983
1450,20020917X02745,Accident,ATL82DA152,1982-06-04,"RED OAK, VA",United States,,,,,Non-Fatal,Substantial,Airplane,N9373U,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,04-06-1983
1452,20020917X03874,Accident,MKC82FA096,1982-06-05,"TAMA, IA",United States,,,8C3,TAMA,Fatal(1),Destroyed,Airplane,N8187A,Cessna,170B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,3.0,0.0,VMC,Takeoff,Probable Cause,05-06-1983
1456,20020917X03490,Accident,FTW82FRD13,1982-06-05,"LAKE CHARLES, LA",United States,,,,,Fatal(2),Destroyed,Airplane,N83006,Piper,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,05-06-1983
1469,20020917X03558,Accident,LAX82DA214,1982-06-06,"SAN ANDREAS, CA",United States,,,034,CALAVERAS,Non-Fatal,Substantial,Airplane,N6341M,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,06-06-1983
1475,20020917X02946,Accident,CHI82DA201,1982-06-06,"STEVENS POINT, WI",United States,,,STE,STEVENS POINT,Non-Fatal,Substantial,Airplane,N3103N,Cessna,140,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,06-06-1983
1480,20020917X02880,Accident,ATL82FLA03,1982-06-07,"THOMASVILLE, GA",United States,,,,,Fatal(2),Destroyed,Airplane,N13687,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,07-06-1983
1482,20020917X03431,Accident,FTW82DPA13,1982-06-07,"MCKINNEY, TX",United States,,,,MCKINNEY MUNICIPAL A/P,Non-Fatal,Substantial,Airplane,N89551,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,07-06-1983
1486,20020917X03556,Accident,LAX82DA211,1982-06-07,"COLUSA, CA",United States,,,,TERRELL FARMS,Non-Fatal,Substantial,Airplane,N2663A,Piper,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,07-06-1983
1491,20020917X03451,Accident,FTW82FPD12,1982-06-08,"GRAHAM, TX",United States,,,,,Fatal(1),Destroyed,Airplane,N6742G,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Aerial Observation,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,08-06-1983
1494,20020917X02947,Accident,CHI82DA202,1982-06-08,"CAMBRIDGE, MN",United States,,,CBG,CAMBRIDGE,Non-Fatal,Destroyed,Airplane,N714HY,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,08-06-1983
1495,20020917X02711,Accident,ANC82FAG30,1982-06-08,"NEAR DILLINGHAM, AK",United States,,,,,Fatal(2),Destroyed,Airplane,N278T,Piper,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,08-06-1983
1510,20020917X03299,Accident,FTW82DA220,1982-06-10,"CUSHING, OK",United States,,,CUH,CUSHING MUNI,Non-Fatal,Substantial,Airplane,N6473P,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,10-06-1983
1520,20020917X03933,Accident,NYC82DA122,1982-06-11,"MONONGAHELA, PA",United States,,,,ROSTRAVER,Non-Fatal,Substantial,Airplane,N608DL,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,11-06-1983
1525,20020917X02685,Accident,ANC82DAG31,1982-06-11,"ANCHORAGE, AK",United States,,,,SAND LAKE,Non-Fatal,Substantial,Airplane,N8653Y,Piper,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,11-06-1983
1527,20020917X03934,Accident,NYC82DA123,1982-06-12,"SCHELLSBURG, PA",United States,,,,,Non-Fatal,Destroyed,Airplane,N5017E,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,IMC,Climb,Probable Cause,12-06-1983
1528,20020917X03660,Accident,LAX82FA219,1982-06-12,"YORBA LINDA, CA",United States,,,,,Fatal(4),Destroyed,Airplane,N8311Z,Piper,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,4.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,12-06-1983
1529,20020917X03659,Accident,LAX82FA218B,1982-06-12,"CORONA, CA",United States,,,,,Fatal(4),Destroyed,Airplane,N90006,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,4.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,12-06-1983
1536,20020917X03713,Accident,LAX82FVD18,1982-06-12,"MCKINLEYVILLE, CA",United States,,,ACV,ARCATA,Non-Fatal,Substantial,Airplane,N64187,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,12-06-1983
1537,20020917X02712,Accident,ANC82FAG32,1982-06-12,"CHUGIAK, AK",United States,,,,,Fatal(1),Substantial,Airplane,N2340S,Piper,PA-18-150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,1.0,0.0,0.0,VMC,Unknown,Probable Cause,12-06-1983
